23891 2008  1  1   70 10 0 0 0
23891 2008  1  2   70 10 0 0 0
23891 2008  1  3   70 10 0 0 0
23891 2008  1  4   70 10 0 0 0
23891 2008  1  5   70 10 0 0 0
23891 2008  1  6   70 10 0 0 0
23891 2008  1  7   70 10 0 0 0
23891 2008  1  8   70 10 0 0 0
23891 2008  1  9   71 10 0 0 0
23891 2008  1 10   71 10 0 0 0
23891 2008  1 11   71 10 0 0 0
23891 2008  1 12   70 10 0 0 0
23891 2008  1 13   70 10 0 0 0
23891 2008  1 14   70 10 0 0 0
23891 2008  1 15   70 10 0 0 0
23891 2008  1 16   70 10 0 0 0
23891 2008  1 17   70 10 0 0 0
23891 2008  1 18   70 10 0 0 0
23891 2008  1 19   70 10 0 0 0
23891 2008  1 20   70 10 0 0 0
23891 2008  1 21   70 10 0 0 0
23891 2008  1 22   72 10 0 0 0
23891 2008  1 23   71 10 0 0 0
23891 2008  1 24   72 10 0 0 0
23891 2008  1 25   72 10 0 0 0
23891 2008  1 26   72 10 0 0 0
23891 2008  1 27   72 10 0 0 0
23891 2008  1 28   72 10 0 0 0
23891 2008  1 29   72 10 0 0 0
23891 2008  1 30   72 10 0 0 0
23891 2008  1 31   72 10 0 0 0
23891 2008  2  1   72 10 0 0 0
23891 2008  2  2   72 10 0 0 0
23891 2008  2  3   74 10 0 0 0
23891 2008  2  4   74 10 0 0 0
23891 2008  2  5   74 10 0 0 0
23891 2008  2  6   73 10 0 0 0
23891 2008  2  7   73 10 0 0 0
23891 2008  2  8   73 10 0 0 0
23891 2008  2  9   72 10 0 0 0
23891 2008  2 10   72 10 0 0 0
23891 2008  2 11   73 10 0 0 0
23891 2008  2 12   75 10 0 0 0
23891 2008  2 13   75 10 0 0 0
23891 2008  2 14   75 10 0 0 0
23891 2008  2 15   75 10 0 0 0
23891 2008  2 16   75 10 0 0 0
23891 2008  2 17   75 10 0 0 0
23891 2008  2 18   74 10 0 0 0
23891 2008  2 19   75 10 0 0 0
23891 2008  2 20   75 10 0 0 0
23891 2008  2 21   75 10 0 0 0
23891 2008  2 22   75 10 0 0 0
23891 2008  2 23   76 10 0 0 0
23891 2008  2 24   77 10 0 0 0
23891 2008  2 25   78 10 0 0 0
23891 2008  2 26   82 10 0 0 0
23891 2008  2 27   84 10 0 0 0
23891 2008  2 28   85 10 0 0 0
23891 2008  2 29   89 10 0 0 0
23891 2008  3  1   87 10 0 0 0
23891 2008  3  2   90 10 0 0 0
23891 2008  3  3   94 10 0 0 0
23891 2008  3  4   93 10 0 0 0
23891 2008  3  5   97 10 0 0 0
23891 2008  3  6   97 10 0 0 0
23891 2008  3  7   95 10 0 0 0
23891 2008  3  8   93 10 0 0 0
23891 2008  3  9   91 10 0 0 0
23891 2008  3 10   96 10 0 0 0
23891 2008  3 11   95 10 0 0 0
23891 2008  3 12   94 10 0 0 0
23891 2008  3 13   94 10 0 0 0
23891 2008  3 14   93 10 0 0 0
23891 2008  3 15   97 10 0 0 0
23891 2008  3 16  100 10 0 0 0
23891 2008  3 17   96 10 0 0 0
23891 2008  3 18   96 10 0 0 0
23891 2008  3 19   96 10 0 0 0
23891 2008  3 20   96 10 0 0 0
23891 2008  3 21   95 10 0 0 0
23891 2008  3 22   93 10 0 0 0
23891 2008  3 23   97 10 0 0 0
23891 2008  3 24   95 10 0 0 0
23891 2008  3 25   88 10 0 0 0
23891 2008  3 26   87 10 0 0 0
23891 2008  3 27   87 10 0 0 0
23891 2008  3 28   87 10 0 0 0
23891 2008  3 29   86 10 0 0 0
23891 2008  3 30   86 10 0 0 0
23891 2008  3 31   85 10 0 0 0
23891 2008  4  1   85 10 0 0 0
23891 2008  4  2   85 10 0 0 0
23891 2008  4  3   85 10 0 0 0
23891 2008  4  4   84 10 0 0 0
23891 2008  4  5   84 10 0 0 0
23891 2008  4  6   84 10 0 0 0
23891 2008  4  7   83 10 0 0 0
23891 2008  4  8   83 10 0 0 0
23891 2008  4  9   85 10 0 0 0
23891 2008  4 10   85 10 0 0 0
23891 2008  4 11   90 10 0 0 0
23891 2008  4 12   87 10 0 0 0
23891 2008  4 13   85 10 0 0 0
23891 2008  4 14   85 10 0 0 0
23891 2008  4 15   89 10 0 0 0
23891 2008  4 16   98 10 0 0 0
23891 2008  4 17   95 10 0 0 0
23891 2008  4 18   93 10 0 0 0
23891 2008  4 19   95 10 0 0 0
23891 2008  4 20   94 10 0 0 0
23891 2008  4 21   94 10 0 0 0
23891 2008  4 22   91 10 0 0 0
23891 2008  4 23   84 10 0 0 0
23891 2008  4 24   83 10 0 0 0
23891 2008  4 25   83 10 0 0 0
23891 2008  4 26   75 10 0 0 0
23891 2008  4 27   73 10 0 0 0
23891 2008  4 28   76 10 0 0 0
23891 2008  4 29   68 10 0 0 0
23891 2008  4 30   68 10 0 0 0
23891 2008  5  1   67 10 0 0 0
23891 2008  5  2   59 10 0 0 0
23891 2008  5  3   55 10 0 0 0
23891 2008  5  4   54 10 0 0 0
23891 2008  5  5   50 10 0 0 0
23891 2008  5  6   48 10 0 0 0
23891 2008  5  7   43 10 0 0 0
23891 2008  5  8   38 10 0 0 0
23891 2008  5  9   37 10 0 0 0
23891 2008  5 10   34 10 0 0 0
23891 2008  5 11   25 10 0 0 1
23891 2008  5 12   17  9 0 0 1
23891 2008  5 13   11  9 0 0 0
23891 2008  5 14    7  7 0 0 0
23891 2008  5 15    5  6 0 0 0
23891 2008  5 16    3  6 0 0 0
23891 2008  5 17    2  5 0 0 0
23891 2008  5 18    0  0 1 0 0
23891 2008  5 19    0  0 1 0 0
